Metric,Value
Num of All jobs,1000
Num of HPC jobs,951
Num of QC jobs,49
Wait time of HPC jobs,"(0, 20.4, 127)"
Wait time of HPC (Priority=1) jobs,"(0, 17.3, 109, [19, 20, 22, 8, 19, 18, 8, 23, 22, 12, 14, 81, 8, 3, 16, 4, 15, 23, 17, 17, 13, 13, 15, 16, 24, 11, 20, 8, 21, 4, 8, 8, 8, 24, 13, 8, 8, 41, 16, 16, 21, 8, 20, 5, 10, 82, 21, 14, 1, 2, 21, 10, 54, 6, 15, 11, 18, 8, 20, 24, 10, 14, 19, 22, 21, 22, 7, 10, 5, 5, 18, 9, 24, 5, 20, 5, 20, 82, 5, 57, 17, 7, 7, 5, 17, 4, 17, 8, 16, 6, 13, 6, 17, 14, 19, 43, 13, 20, 24, 25, 12, 6, 10, 3, 9, 1, 18, 25, 8, 1, 5, 10, 83, 6, 81, 8, 5, 12, 20, 84, 24, 6, 24, 12, 4, 20, 6, 7, 3, 24, 5, 14, 21, 45, 11, 14, 17, 0, 6, 2, 2, 21, 23, 3, 1, 9, 18, 0, 23, 24, 3, 4, 4, 12, 10, 14, 13, 2, 94, 6, 19, 71, 2, 13, 24, 8, 21, 19, 18, 24, 2, 72, 0, 21, 16, 17, 12, 9, 4, 9, 20, 13, 18, 22, 3, 2, 2, 9, 12, 6, 18, 21, 22, 8, 14, 73, 109, 0, 14])"
Wait time of HPC (Priority=2) jobs,"(1, 18.2, 116, [9, 11, 8, 20, 10, 2, 22, 83, 9, 23, 7, 84, 10, 14, 85, 23, 17, 9, 33, 10, 16, 18, 24, 8, 34, 14, 47, 22, 10, 9, 8, 6, 8, 8, 11, 19, 3, 18, 22, 19, 86, 13, 7, 10, 11, 23, 55, 7, 19, 13, 8, 7, 23, 23, 10, 23, 13, 15, 24, 8, 14, 14, 7, 24, 8, 22, 10, 84, 1, 5, 21, 17, 6, 3, 6, 12, 13, 19, 19, 18, 5, 6, 18, 2, 6, 17, 85, 8, 12, 5, 8, 10, 5, 8, 4, 24, 11, 2, 22, 86, 13, 5, 24, 15, 6, 13, 21, 6, 8, 7, 17, 20, 6, 5, 11, 6, 19, 24, 3, 12, 10, 87, 2, 13, 14, 14, 8, 23, 20, 21, 10, 1, 74, 4, 35, 17, 18, 25, 4, 13, 9, 11, 15, 17, 1, 19, 14, 13, 3, 29, 7, 19, 14, 14, 5, 21, 6, 24, 19, 5, 4, 4, 20, 19, 10, 12, 4, 115, 116, 21, 9, 2, 24, 18, 20, 23, 17, 10, 17, 13, 10, 3, 14, 6, 59])"
Wait time of HPC (Priority=3) jobs,"(0, 16.9, 88, [24, 11, 17, 56, 18, 23, 13, 8, 29, 8, 20, 22, 4, 48, 2, 23, 9, 22, 17, 9, 10, 6, 20, 25, 29, 19, 12, 22, 3, 12, 9, 9, 18, 12, 30, 19, 6, 20, 13, 6, 57, 23, 11, 35, 8, 15, 17, 87, 20, 14, 13, 1, 12, 18, 25, 20, 15, 10, 9, 2, 8, 16, 14, 21, 3, 88, 8, 17, 22, 3, 21, 14, 8, 15, 8, 25, 11, 24, 6, 15, 8, 18, 9, 14, 11, 51, 21, 19, 14, 22, 8, 6, 15, 9, 6, 32, 3, 23, 21, 88, 24, 18, 23, 9, 4, 33, 15, 15, 18, 6, 18, 7, 0, 23, 9, 1, 11, 7, 8, 11, 7, 8, 9, 19, 17, 21, 14, 2, 4, 16, 24, 14, 4, 14, 24, 13, 15, 7, 13, 21, 13, 75, 9, 17, 18, 16, 18, 16, 18, 17, 15, 24, 22, 3, 24, 11, 19, 10, 14, 13, 0, 41, 19, 3, 9, 13, 22, 19, 9, 3, 9, 42, 17, 7, 13, 14, 23, 24, 22, 21, 13, 5, 9])"
Wait time of HPC (Priority=4) jobs,"(0, 20.9, 120, [10, 25, 7, 20, 41, 13, 19, 54, 19, 6, 23, 5, 6, 16, 10, 24, 29, 41, 5, 10, 13, 7, 16, 18, 21, 13, 24, 18, 25, 0, 12, 54, 19, 54, 5, 22, 55, 23, 24, 18, 24, 55, 24, 19, 8, 4, 21, 26, 7, 21, 9, 55, 26, 58, 25, 4, 13, 55, 14, 18, 17, 7, 19, 20, 22, 13, 89, 23, 26, 21, 29, 5, 9, 57, 19, 22, 9, 9, 16, 18, 25, 18, 23, 26, 16, 20, 119, 4, 3, 24, 13, 18, 30, 23, 21, 20, 3, 17, 9, 23, 31, 17, 23, 6, 20, 0, 33, 1, 21, 13, 6, 15, 7, 22, 18, 34, 15, 20, 24, 17, 10, 6, 120, 20, 24, 25, 23, 18, 9, 18, 21, 17, 19, 15, 15, 1, 15, 4, 2, 19, 23, 19, 14, 13, 24, 76, 25, 29, 29, 1, 52, 4, 24, 2, 1, 29, 26, 24, 13, 7, 14, 59, 13, 10, 7, 23, 0, 15, 15, 22, 27, 18, 23, 17, 43, 59, 17, 10, 17, 3, 1, 11, 19, 15, 23])"
Wait time of HPC (Priority=5) jobs,"(0, 28.2, 127, [20, 59, 60, 56, 3, 4, 2, 24, 26, 24, 10, 2, 57, 2, 3, 13, 7, 20, 29, 56, 24, 0, 4, 21, 25, 90, 91, 16, 29, 12, 20, 5, 29, 24, 26, 25, 15, 23, 24, 56, 27, 21, 20, 2, 13, 35, 92, 2, 26, 19, 22, 31, 9, 32, 22, 23, 29, 13, 29, 20, 13, 29, 16, 22, 2, 7, 23, 6, 25, 52, 25, 6, 7, 121, 22, 88, 1, 13, 5, 53, 19, 2, 23, 58, 16, 8, 6, 54, 16, 8, 22, 127, 89, 26, 12, 12, 58, 11, 10, 26, 21, 10, 15, 16, 19, 24, 22, 16, 9, 21, 23, 13, 34, 2, 24, 16, 22, 26, 58, 24, 10, 11, 8, 19, 25, 16, 17, 24, 29, 58, 19, 59, 11, 44, 16, 59, 100, 117, 76, 2, 16, 28, 20, 17, 20, 22, 77, 19, 20, 3, 25, 4, 29, 101, 102, 16, 5, 0, 20, 21, 6, 15, 17, 17, 21, 17, 13, 18, 23, 11, 4, 21, 20, 18, 45, 18, 18, 18, 21, 24, 13, 29, 21, 103, 59, 18, 11, 46, 104, 20, 105, 22, 24, 118, 21, 18, 20, 19, 106])"
Wait time of QC jobs,"(0, 46.1, 113)"
Wait time of QC (Priority=1) jobs,"(5, 29.0, 66, [60, 5, 13, 66, 5, 25])"
Wait time of QC (Priority=2) jobs,"(0, 23.2, 61, [61, 11, 11, 12, 40, 7, 19, 12, 0, 59])"
Wait time of QC (Priority=3) jobs,"(8, 51.9, 107, [54, 94, 56, 62, 67, 8, 37, 73, 63, 38, 74, 13, 18, 15, 107])"
Wait time of QC (Priority=4) jobs,"(2, 61.8, 112, [41, 95, 39, 43, 2, 44, 112, 57, 81, 58, 108])"
Wait time of QC (Priority=5) jobs,"(42, 56.3, 113, [46, 47, 113, 49, 42, 52, 45])"
Response time of HPC jobs,"(1, 22.6, 128)"
Response time of HPC (Priority=1) jobs,"(1, 20.4, 115, [20, 21, 28, 9, 20, 19, 20, 24, 23, 13, 15, 82, 9, 4, 28, 5, 16, 24, 18, 23, 19, 14, 16, 22, 25, 17, 68, 9, 22, 5, 9, 9, 9, 25, 14, 9, 9, 47, 46, 17, 22, 26, 21, 6, 16, 83, 22, 15, 2, 3, 22, 11, 55, 7, 21, 17, 19, 9, 21, 25, 11, 15, 20, 23, 22, 28, 8, 16, 6, 6, 19, 10, 30, 6, 21, 6, 21, 83, 6, 81, 18, 8, 8, 17, 18, 5, 18, 14, 28, 7, 14, 7, 23, 15, 20, 44, 19, 21, 25, 49, 18, 7, 16, 4, 10, 2, 19, 26, 14, 2, 6, 11, 84, 7, 82, 9, 6, 13, 21, 85, 25, 7, 30, 13, 5, 21, 7, 8, 4, 25, 23, 15, 22, 51, 17, 15, 18, 1, 7, 3, 8, 22, 24, 4, 7, 10, 24, 1, 29, 30, 4, 5, 5, 13, 11, 20, 14, 3, 100, 7, 20, 72, 8, 14, 25, 9, 22, 20, 19, 25, 3, 73, 1, 69, 17, 18, 13, 15, 5, 10, 21, 14, 19, 23, 9, 3, 3, 10, 18, 7, 19, 22, 23, 9, 15, 74, 115, 1, 20])"
Response time of HPC (Priority=2) jobs,"(2, 20.3, 117, [10, 17, 14, 21, 11, 3, 23, 84, 10, 24, 8, 85, 22, 15, 86, 29, 18, 10, 34, 11, 22, 24, 25, 9, 40, 15, 48, 23, 16, 10, 9, 7, 9, 9, 12, 20, 4, 19, 23, 20, 87, 14, 8, 11, 12, 24, 56, 8, 20, 19, 14, 8, 24, 24, 11, 24, 19, 16, 30, 9, 15, 15, 8, 25, 9, 23, 11, 85, 2, 6, 22, 18, 7, 4, 7, 13, 14, 25, 20, 19, 6, 12, 19, 3, 7, 18, 86, 9, 13, 6, 9, 11, 6, 9, 5, 25, 12, 3, 23, 87, 14, 6, 25, 16, 12, 14, 22, 12, 9, 8, 18, 21, 12, 6, 12, 7, 43, 25, 4, 13, 11, 88, 3, 14, 15, 15, 9, 24, 21, 22, 11, 2, 75, 5, 41, 18, 19, 26, 5, 14, 10, 12, 16, 18, 2, 20, 15, 14, 4, 30, 8, 20, 15, 15, 6, 22, 7, 25, 20, 6, 5, 5, 21, 20, 11, 13, 10, 116, 117, 33, 10, 3, 25, 24, 21, 35, 29, 11, 18, 14, 52, 4, 15, 7, 65])"
Response time of HPC (Priority=3) jobs,"(1, 18.9, 112, [25, 12, 18, 57, 19, 24, 14, 9, 35, 20, 21, 23, 5, 54, 3, 24, 10, 23, 18, 10, 11, 7, 21, 31, 30, 20, 13, 23, 4, 13, 10, 10, 19, 13, 31, 20, 7, 21, 14, 7, 58, 24, 12, 36, 9, 16, 18, 88, 21, 15, 14, 2, 13, 19, 26, 21, 16, 11, 10, 3, 9, 17, 15, 22, 4, 89, 9, 18, 23, 4, 22, 15, 9, 16, 9, 26, 12, 25, 7, 16, 9, 19, 10, 15, 12, 52, 22, 20, 15, 23, 14, 12, 16, 10, 7, 33, 4, 24, 22, 112, 25, 19, 24, 10, 5, 34, 16, 16, 19, 7, 19, 8, 1, 24, 10, 2, 12, 8, 9, 12, 8, 9, 10, 43, 18, 22, 15, 3, 5, 17, 25, 15, 5, 15, 25, 14, 21, 13, 14, 33, 14, 76, 10, 47, 19, 17, 19, 17, 19, 18, 16, 25, 70, 4, 25, 12, 20, 11, 15, 14, 1, 42, 20, 4, 10, 14, 23, 20, 10, 4, 10, 43, 18, 8, 14, 15, 24, 25, 23, 22, 19, 6, 15])"
Response time of HPC (Priority=4) jobs,"(1, 22.7, 121, [16, 26, 8, 21, 42, 14, 20, 55, 20, 7, 24, 6, 7, 17, 11, 25, 30, 42, 6, 11, 14, 8, 17, 19, 22, 14, 25, 19, 26, 1, 13, 55, 20, 55, 6, 40, 56, 24, 25, 19, 25, 56, 25, 20, 9, 5, 22, 27, 8, 22, 10, 56, 27, 59, 26, 5, 14, 56, 15, 19, 18, 8, 20, 21, 23, 14, 90, 24, 32, 22, 35, 6, 10, 58, 25, 23, 10, 10, 17, 19, 26, 19, 24, 32, 17, 32, 120, 5, 4, 25, 14, 24, 31, 29, 33, 21, 4, 18, 10, 24, 32, 18, 29, 7, 21, 1, 34, 7, 22, 14, 7, 16, 19, 23, 19, 35, 16, 21, 25, 18, 11, 7, 121, 21, 25, 26, 24, 19, 10, 19, 22, 18, 20, 16, 16, 2, 16, 5, 3, 20, 24, 20, 26, 14, 25, 77, 26, 30, 35, 2, 53, 5, 25, 3, 2, 30, 27, 25, 14, 8, 15, 60, 14, 11, 8, 29, 1, 16, 21, 23, 28, 19, 29, 18, 44, 60, 18, 11, 29, 4, 2, 12, 20, 16, 29])"
