Metric,Value
Num of All jobs,1000
Num of HPC jobs,951
Num of QC jobs,49
Wait time of HPC jobs,"(0, 24.8, 155)"
Wait time of HPC (Priority=1) jobs,"(0, 28.7, 155, [19, 20, 22, 8, 19, 18, 8, 49, 22, 22, 14, 70, 9, 3, 49, 4, 15, 23, 17, 22, 25, 24, 15, 16, 24, 11, 21, 4, 49, 4, 78, 24, 6, 49, 13, 2, 1, 85, 72, 24, 79, 4, 20, 5, 71, 121, 21, 14, 42, 2, 21, 10, 106, 8, 15, 71, 18, 2, 20, 24, 49, 14, 24, 22, 22, 22, 7, 10, 9, 10, 18, 9, 25, 16, 20, 9, 20, 145, 27, 93, 17, 61, 27, 9, 17, 4, 28, 62, 22, 6, 13, 28, 22, 14, 19, 48, 28, 20, 24, 62, 12, 29, 11, 3, 23, 1, 29, 29, 10, 1, 5, 21, 152, 10, 143, 8, 10, 12, 20, 143, 24, 10, 24, 12, 4, 23, 30, 7, 3, 24, 10, 31, 21, 50, 23, 14, 17, 0, 31, 2, 29, 21, 23, 3, 1, 9, 21, 0, 29, 24, 36, 4, 4, 12, 29, 29, 13, 2, 146, 14, 19, 123, 2, 13, 24, 37, 130, 128, 18, 24, 2, 125, 0, 69, 16, 17, 23, 18, 69, 9, 20, 13, 18, 131, 15, 2, 2, 9, 12, 6, 27, 21, 22, 8, 14, 117, 155, 0, 26])"
Wait time of HPC (Priority=2) jobs,"(0, 27.2, 155, [9, 11, 49, 20, 10, 2, 26, 102, 49, 23, 7, 103, 10, 14, 104, 77, 20, 9, 41, 10, 16, 18, 27, 5, 55, 14, 39, 22, 24, 49, 7, 6, 10, 4, 11, 19, 3, 71, 22, 19, 122, 13, 7, 10, 11, 71, 107, 7, 19, 13, 6, 7, 23, 71, 10, 49, 13, 15, 24, 8, 22, 14, 25, 24, 8, 22, 10, 118, 1, 9, 21, 17, 10, 3, 6, 32, 13, 19, 19, 18, 22, 23, 18, 2, 6, 17, 60, 29, 12, 10, 10, 10, 5, 8, 4, 24, 11, 2, 22, 153, 13, 5, 24, 15, 14, 13, 21, 9, 10, 7, 31, 20, 10, 5, 11, 12, 69, 24, 4, 12, 31, 155, 2, 29, 14, 14, 8, 23, 20, 20, 10, 1, 120, 3, 41, 17, 21, 127, 12, 13, 9, 11, 15, 69, 0, 19, 14, 13, 3, 127, 24, 19, 14, 14, 5, 20, 6, 24, 19, 5, 4, 4, 20, 69, 69, 12, 3, 152, 153, 20, 8, 2, 24, 18, 20, 70, 16, 69, 17, 69, 15, 3, 14, 6, 133])"
Wait time of HPC (Priority=3) jobs,"(0, 19.6, 122, [24, 10, 17, 83, 18, 23, 13, 8, 71, 0, 20, 22, 4, 43, 2, 23, 6, 22, 23, 9, 10, 24, 20, 25, 49, 19, 12, 22, 3, 12, 9, 9, 18, 12, 72, 19, 6, 20, 13, 6, 105, 23, 11, 80, 8, 15, 17, 69, 20, 14, 13, 1, 12, 18, 21, 20, 1, 6, 9, 2, 8, 11, 10, 21, 3, 118, 8, 17, 22, 3, 21, 14, 8, 15, 8, 27, 11, 24, 18, 15, 8, 18, 9, 19, 11, 45, 21, 19, 14, 27, 10, 10, 33, 9, 10, 24, 3, 22, 21, 119, 24, 20, 23, 10, 3, 25, 23, 15, 18, 10, 18, 7, 0, 23, 10, 1, 11, 10, 4, 11, 11, 8, 8, 19, 17, 21, 14, 2, 4, 16, 24, 29, 4, 14, 24, 13, 15, 4, 13, 29, 13, 122, 9, 16, 29, 16, 18, 16, 18, 16, 15, 24, 22, 3, 24, 11, 69, 6, 14, 13, 0, 38, 69, 3, 9, 9, 22, 19, 9, 3, 8, 39, 16, 7, 12, 12, 69, 24, 22, 21, 13, 5, 5])"
Wait time of HPC (Priority=4) jobs,"(0, 22.0, 154, [7, 23, 7, 20, 71, 12, 19, 77, 19, 6, 23, 5, 6, 16, 10, 23, 49, 71, 5, 10, 13, 7, 16, 9, 20, 2, 24, 7, 21, 0, 12, 49, 19, 49, 5, 17, 71, 9, 19, 18, 24, 72, 10, 19, 8, 4, 12, 49, 21, 21, 9, 72, 49, 38, 24, 4, 13, 71, 14, 18, 17, 7, 16, 20, 10, 9, 123, 2, 17, 21, 22, 3, 9, 61, 18, 22, 9, 9, 16, 18, 25, 18, 21, 25, 16, 18, 144, 3, 3, 5, 13, 18, 28, 23, 21, 20, 3, 17, 11, 23, 30, 17, 23, 10, 20, 0, 30, 0, 21, 13, 10, 15, 10, 22, 18, 30, 15, 20, 23, 17, 10, 6, 154, 20, 24, 29, 23, 18, 8, 18, 21, 17, 19, 15, 15, 1, 9, 4, 2, 19, 23, 19, 14, 13, 24, 128, 24, 29, 29, 1, 70, 4, 26, 2, 1, 69, 22, 24, 13, 7, 14, 69, 0, 10, 7, 23, 0, 8, 15, 22, 27, 18, 23, 11, 40, 69, 8, 9, 0, 3, 1, 11, 19, 15, 22])"
Wait time of HPC (Priority=5) jobs,"(0, 26.2, 154, [20, 40, 84, 77, 3, 0, 0, 24, 24, 18, 10, 2, 78, 0, 3, 13, 7, 14, 19, 49, 9, 0, 4, 21, 6, 119, 120, 16, 49, 12, 20, 5, 24, 22, 7, 11, 15, 23, 4, 71, 20, 0, 20, 2, 12, 49, 117, 2, 1, 19, 22, 25, 9, 23, 22, 23, 2, 13, 20, 18, 13, 2, 16, 21, 2, 7, 23, 2, 16, 43, 3, 3, 7, 146, 22, 117, 1, 13, 2, 44, 17, 2, 23, 32, 10, 10, 6, 46, 12, 8, 20, 59, 49, 3, 12, 12, 69, 11, 10, 3, 11, 10, 15, 15, 19, 24, 22, 16, 9, 21, 20, 13, 26, 2, 24, 16, 22, 22, 30, 24, 10, 11, 8, 19, 24, 16, 17, 24, 24, 31, 17, 32, 9, 35, 11, 70, 118, 145, 127, 2, 14, 26, 18, 0, 2, 22, 129, 9, 17, 3, 13, 4, 14, 127, 124, 16, 5, 0, 18, 21, 6, 12, 8, 0, 21, 6, 13, 15, 5, 11, 4, 21, 1, 7, 28, 2, 12, 3, 20, 6, 13, 15, 21, 119, 69, 18, 11, 25, 121, 18, 132, 22, 22, 154, 21, 0, 20, 9, 126])"
Wait time of QC jobs,"(0, 47.3, 117)"
Wait time of QC (Priority=1) jobs,"(9, 31.3, 71, [71, 9, 13, 61, 9, 25])"
Wait time of QC (Priority=2) jobs,"(0, 25.0, 72, [72, 11, 11, 12, 37, 7, 19, 12, 0, 69])"
Wait time of QC (Priority=3) jobs,"(8, 48.8, 74, [49, 73, 58, 70, 62, 8, 43, 68, 74, 44, 69, 13, 18, 15, 68])"
Wait time of QC (Priority=4) jobs,"(2, 65.5, 105, [38, 105, 45, 46, 2, 47, 93, 55, 94, 92, 104])"
Wait time of QC (Priority=5) jobs,"(39, 60.9, 117, [40, 41, 117, 71, 48, 70, 39])"
Response time of HPC jobs,"(1, 27.1, 161)"
Response time of HPC (Priority=1) jobs,"(1, 31.8, 161, [20, 21, 28, 9, 20, 19, 20, 50, 23, 23, 15, 71, 10, 4, 61, 5, 16, 24, 18, 28, 31, 25, 16, 22, 25, 17, 69, 5, 50, 5, 79, 25, 7, 50, 14, 3, 2, 91, 102, 25, 80, 22, 21, 6, 77, 122, 22, 15, 43, 3, 22, 11, 107, 9, 21, 77, 19, 3, 21, 25, 50, 15, 25, 23, 23, 28, 8, 16, 10, 11, 19, 10, 31, 17, 21, 10, 21, 146, 28, 117, 18, 62, 28, 21, 18, 5, 29, 68, 34, 7, 14, 29, 28, 15, 20, 49, 34, 21, 25, 86, 18, 30, 17, 4, 24, 2, 30, 30, 16, 2, 6, 22, 153, 11, 144, 9, 11, 13, 21, 144, 25, 11, 30, 13, 5, 24, 31, 8, 4, 25, 28, 32, 22, 56, 29, 15, 18, 1, 32, 3, 35, 22, 24, 4, 7, 10, 27, 1, 35, 30, 37, 5, 5, 13, 30, 35, 14, 3, 152, 15, 20, 124, 8, 14, 25, 38, 131, 129, 19, 25, 3, 126, 1, 117, 17, 18, 24, 24, 70, 10, 21, 14, 19, 132, 21, 3, 3, 10, 18, 7, 28, 22, 23, 9, 15, 118, 161, 1, 32])"
Response time of HPC (Priority=2) jobs,"(1, 29.3, 156, [10, 17, 55, 21, 11, 3, 27, 103, 50, 24, 8, 104, 22, 15, 105, 83, 21, 10, 42, 11, 22, 24, 28, 6, 61, 15, 40, 23, 30, 50, 8, 7, 11, 5, 12, 20, 4, 72, 23, 20, 123, 14, 8, 11, 12, 72, 108, 8, 20, 19, 12, 8, 24, 72, 11, 50, 19, 16, 30, 9, 23, 15, 26, 25, 9, 23, 11, 119, 2, 10, 22, 18, 11, 4, 7, 33, 14, 25, 20, 19, 23, 29, 19, 3, 7, 18, 61, 30, 13, 11, 11, 11, 6, 9, 5, 25, 12, 3, 23, 154, 14, 6, 25, 16, 20, 14, 22, 15, 11, 8, 32, 21, 16, 6, 12, 13, 93, 25, 5, 13, 32, 156, 3, 30, 15, 15, 9, 24, 21, 21, 11, 2, 121, 4, 47, 18, 22, 128, 13, 14, 10, 12, 16, 70, 1, 20, 15, 14, 4, 128, 25, 20, 15, 15, 6, 21, 7, 25, 20, 6, 5, 5, 21, 70, 70, 13, 9, 153, 154, 32, 9, 3, 25, 24, 21, 82, 28, 70, 18, 70, 57, 4, 15, 7, 139])"
Response time of HPC (Priority=3) jobs,"(1, 21.6, 143, [25, 11, 18, 84, 19, 24, 14, 9, 77, 12, 21, 23, 5, 49, 3, 24, 7, 23, 24, 10, 11, 25, 21, 31, 50, 20, 13, 23, 4, 13, 10, 10, 19, 13, 73, 20, 7, 21, 14, 7, 106, 24, 12, 81, 9, 16, 18, 70, 21, 15, 14, 2, 13, 19, 22, 21, 2, 7, 10, 3, 9, 12, 11, 22, 4, 119, 9, 18, 23, 4, 22, 15, 9, 16, 9, 28, 12, 25, 19, 16, 9, 19, 10, 20, 12, 46, 22, 20, 15, 28, 16, 16, 34, 10, 11, 25, 4, 23, 22, 143, 25, 21, 24, 11, 4, 26, 24, 16, 19, 11, 19, 8, 1, 24, 11, 2, 12, 11, 5, 12, 12, 9, 9, 43, 18, 22, 15, 3, 5, 17, 25, 30, 5, 15, 25, 14, 21, 10, 14, 41, 14, 123, 10, 46, 30, 17, 19, 17, 19, 17, 16, 25, 70, 4, 25, 12, 70, 7, 15, 14, 1, 39, 70, 4, 10, 10, 23, 20, 10, 4, 9, 40, 17, 8, 13, 13, 70, 25, 23, 22, 19, 6, 11])"
Response time of HPC (Priority=4) jobs,"(1, 23.7, 155, [13, 24, 8, 21, 72, 13, 20, 78, 20, 7, 24, 6, 7, 17, 11, 24, 50, 72, 6, 11, 14, 8, 17, 10, 21, 3, 25, 8, 22, 1, 13, 50, 20, 50, 6, 35, 72, 10, 20, 19, 25, 73, 11, 20, 9, 5, 13, 50, 22, 22, 10, 73, 50, 39, 25, 5, 14, 72, 15, 19, 18, 8, 17, 21, 11, 10, 124, 3, 23, 22, 28, 4, 10, 62, 24, 23, 10, 10, 17, 19, 26, 19, 22, 31, 17, 30, 145, 4, 4, 6, 14, 24, 29, 29, 33, 21, 4, 18, 12, 24, 31, 18, 29, 11, 21, 1, 31, 6, 22, 14, 11, 16, 22, 23, 19, 31, 16, 21, 24, 18, 11, 7, 155, 21, 25, 30, 24, 19, 9, 19, 22, 18, 20, 16, 16, 2, 10, 5, 3, 20, 24, 20, 26, 14, 25, 129, 25, 30, 35, 2, 71, 5, 27, 3, 2, 70, 23, 25, 14, 8, 15, 70, 1, 11, 8, 29, 1, 9, 21, 23, 28, 19, 29, 12, 41, 70, 9, 10, 12, 4, 2, 12, 20, 16, 28])"
