Metric,Value
Num of All jobs,1000
Num of HPC jobs,951
Num of QC jobs,49
Wait time of HPC jobs,"(0, 21.2, 124)"
Wait time of HPC (Priority=1) jobs,"(0, 23.4, 121, [19, 20, 22, 8, 19, 18, 8, 23, 22, 12, 14, 68, 7, 3, 16, 4, 15, 23, 17, 17, 17, 18, 15, 16, 24, 11, 20, 6, 23, 6, 55, 18, 7, 24, 13, 8, 9, 69, 25, 19, 56, 9, 20, 6, 25, 80, 22, 14, 65, 2, 21, 20, 81, 36, 21, 36, 18, 21, 21, 24, 25, 21, 29, 25, 30, 23, 11, 10, 8, 8, 18, 9, 24, 8, 20, 8, 20, 112, 9, 59, 17, 10, 10, 8, 17, 4, 17, 25, 16, 6, 13, 11, 17, 14, 19, 34, 14, 20, 24, 59, 12, 18, 11, 3, 17, 1, 19, 24, 11, 2, 5, 13, 121, 14, 108, 8, 15, 12, 20, 109, 24, 15, 24, 12, 4, 21, 21, 7, 3, 24, 18, 23, 22, 37, 23, 19, 21, 2, 25, 2, 2, 21, 23, 3, 2, 9, 18, 0, 23, 24, 38, 4, 10, 12, 10, 15, 13, 3, 97, 8, 19, 103, 7, 13, 24, 40, 76, 77, 18, 24, 13, 105, 13, 24, 16, 17, 37, 24, 29, 9, 20, 15, 18, 78, 15, 2, 2, 9, 16, 16, 43, 21, 22, 16, 14, 111, 113, 0, 26])"
Wait time of HPC (Priority=2) jobs,"(0, 23.9, 124, [9, 11, 0, 20, 10, 2, 16, 75, 6, 23, 7, 76, 10, 14, 77, 17, 16, 9, 57, 10, 16, 18, 35, 7, 58, 14, 64, 22, 21, 21, 9, 7, 20, 9, 11, 19, 3, 27, 22, 19, 84, 21, 7, 10, 12, 35, 85, 9, 28, 21, 22, 10, 23, 36, 10, 27, 23, 23, 26, 8, 30, 14, 8, 24, 8, 22, 10, 83, 1, 8, 21, 17, 8, 3, 6, 12, 13, 19, 19, 18, 14, 15, 18, 2, 6, 19, 120, 20, 12, 11, 14, 10, 5, 8, 4, 24, 15, 2, 22, 122, 13, 5, 24, 19, 21, 13, 21, 17, 18, 7, 22, 22, 18, 5, 11, 21, 84, 24, 4, 22, 23, 124, 2, 13, 14, 14, 8, 31, 20, 20, 10, 1, 74, 7, 32, 17, 18, 75, 10, 13, 9, 11, 15, 20, 10, 19, 14, 13, 3, 77, 7, 19, 14, 14, 5, 20, 7, 24, 19, 5, 13, 4, 20, 77, 77, 12, 14, 106, 107, 20, 22, 2, 25, 18, 20, 78, 19, 78, 38, 78, 21, 3, 14, 6, 90])"
Wait time of HPC (Priority=3) jobs,"(0, 18.1, 96, [24, 10, 17, 55, 18, 23, 13, 8, 6, 0, 20, 22, 4, 9, 2, 23, 6, 22, 6, 9, 10, 17, 20, 19, 16, 19, 13, 22, 3, 13, 9, 8, 18, 13, 25, 19, 6, 20, 13, 7, 81, 23, 11, 64, 8, 15, 20, 82, 20, 14, 13, 2, 12, 21, 28, 20, 22, 21, 9, 6, 8, 24, 23, 25, 25, 86, 8, 23, 22, 3, 21, 22, 13, 23, 8, 24, 11, 24, 8, 15, 8, 18, 9, 12, 11, 32, 21, 19, 14, 22, 9, 8, 10, 9, 10, 15, 3, 22, 21, 84, 24, 15, 23, 11, 3, 36, 18, 15, 18, 14, 18, 7, 0, 23, 15, 1, 11, 16, 2, 11, 21, 8, 8, 19, 17, 22, 14, 2, 4, 16, 24, 10, 4, 14, 24, 13, 15, 4, 13, 20, 13, 96, 9, 16, 19, 16, 21, 16, 18, 16, 15, 24, 22, 3, 24, 11, 30, 13, 14, 14, 0, 41, 77, 3, 9, 16, 22, 19, 9, 3, 8, 44, 16, 7, 17, 14, 78, 24, 22, 21, 18, 5, 19])"
Wait time of HPC (Priority=4) jobs,"(0, 18.4, 123, [7, 6, 7, 20, 8, 12, 19, 23, 19, 6, 23, 5, 6, 16, 10, 7, 21, 16, 6, 10, 13, 7, 16, 9, 19, 6, 24, 7, 18, 0, 12, 24, 19, 24, 5, 14, 25, 10, 20, 18, 24, 31, 15, 20, 8, 6, 16, 22, 26, 21, 9, 35, 23, 66, 24, 7, 13, 30, 14, 27, 17, 7, 22, 21, 22, 11, 87, 23, 25, 22, 30, 31, 9, 16, 18, 22, 9, 9, 16, 18, 23, 18, 21, 9, 16, 17, 111, 3, 3, 5, 13, 18, 17, 23, 21, 20, 3, 17, 14, 18, 20, 17, 23, 15, 20, 0, 20, 2, 21, 16, 16, 17, 17, 22, 18, 23, 17, 21, 22, 17, 10, 6, 123, 20, 24, 23, 23, 18, 8, 18, 21, 17, 19, 15, 15, 1, 10, 4, 2, 19, 23, 19, 14, 13, 24, 75, 24, 10, 13, 1, 21, 4, 39, 2, 1, 22, 22, 24, 30, 7, 14, 23, 13, 10, 7, 23, 0, 13, 15, 22, 39, 18, 23, 17, 46, 78, 18, 9, 18, 3, 1, 11, 19, 15, 25])"
Wait time of HPC (Priority=5) jobs,"(0, 22.0, 119, [20, 5, 56, 15, 3, 0, 0, 24, 6, 18, 10, 2, 24, 1, 3, 13, 7, 14, 19, 19, 9, 0, 6, 21, 24, 78, 79, 16, 24, 12, 26, 6, 24, 22, 26, 12, 15, 27, 20, 28, 28, 20, 20, 2, 12, 23, 83, 2, 21, 19, 22, 37, 9, 38, 22, 23, 21, 13, 22, 29, 13, 23, 16, 21, 2, 7, 23, 2, 16, 1, 3, 3, 7, 113, 22, 9, 1, 13, 2, 31, 17, 2, 23, 11, 10, 10, 6, 33, 12, 8, 20, 119, 35, 3, 12, 12, 83, 11, 10, 3, 15, 14, 15, 15, 19, 24, 22, 16, 9, 21, 20, 13, 36, 2, 24, 16, 22, 21, 21, 24, 10, 11, 8, 19, 24, 19, 17, 24, 25, 25, 19, 27, 19, 6, 11, 19, 72, 73, 13, 2, 14, 12, 18, 2, 2, 22, 76, 10, 17, 3, 10, 4, 13, 75, 104, 16, 5, 0, 18, 21, 7, 12, 13, 13, 21, 13, 13, 15, 14, 11, 4, 21, 2, 14, 42, 14, 16, 16, 20, 16, 13, 18, 21, 108, 77, 18, 12, 45, 109, 19, 79, 22, 22, 110, 21, 18, 20, 18, 112])"
Wait time of QC jobs,"(0, 46.6, 105)"
Wait time of QC (Priority=1) jobs,"(8, 32.0, 69, [69, 9, 13, 68, 8, 25])"
Wait time of QC (Priority=2) jobs,"(0, 26.9, 90, [70, 11, 11, 12, 37, 7, 19, 12, 0, 90])"
Wait time of QC (Priority=3) jobs,"(8, 49.7, 76, [55, 71, 58, 68, 69, 8, 43, 75, 72, 44, 76, 13, 18, 15, 61])"
Wait time of QC (Priority=4) jobs,"(2, 59.7, 104, [38, 91, 45, 46, 2, 47, 104, 59, 103, 60, 62])"
Wait time of QC (Priority=5) jobs,"(39, 59.6, 105, [41, 40, 105, 67, 48, 77, 39])"
Response time of HPC jobs,"(1, 23.5, 125)"
Response time of HPC (Priority=1) jobs,"(1, 26.5, 122, [20, 21, 28, 9, 20, 19, 20, 24, 23, 13, 15, 69, 8, 4, 28, 5, 16, 24, 18, 23, 23, 19, 16, 22, 25, 17, 68, 7, 24, 7, 56, 19, 8, 25, 14, 9, 10, 75, 55, 20, 57, 27, 21, 7, 31, 81, 23, 15, 66, 3, 22, 21, 82, 37, 27, 42, 19, 22, 22, 25, 26, 22, 30, 26, 31, 29, 12, 16, 9, 9, 19, 10, 30, 9, 21, 9, 21, 113, 10, 83, 18, 11, 11, 20, 18, 5, 18, 31, 28, 7, 14, 12, 23, 15, 20, 35, 20, 21, 25, 83, 18, 19, 17, 4, 18, 2, 20, 25, 17, 3, 6, 14, 122, 15, 109, 9, 16, 13, 21, 110, 25, 16, 30, 13, 5, 22, 22, 8, 4, 25, 36, 24, 23, 43, 29, 20, 22, 3, 26, 3, 8, 22, 24, 4, 8, 10, 24, 1, 29, 30, 39, 5, 11, 13, 11, 21, 14, 4, 103, 9, 20, 104, 13, 14, 25, 41, 77, 78, 19, 25, 14, 106, 14, 72, 17, 18, 38, 30, 30, 10, 21, 16, 19, 79, 21, 3, 3, 10, 22, 17, 44, 22, 23, 17, 15, 112, 119, 1, 32])"
Response time of HPC (Priority=2) jobs,"(2, 26.0, 125, [10, 17, 6, 21, 11, 3, 17, 76, 7, 24, 8, 77, 22, 15, 78, 23, 17, 10, 58, 11, 22, 24, 36, 8, 64, 15, 65, 23, 27, 22, 10, 8, 21, 10, 12, 20, 4, 28, 23, 20, 85, 22, 8, 11, 13, 36, 86, 10, 29, 27, 28, 11, 24, 37, 11, 28, 29, 24, 32, 9, 31, 15, 9, 25, 9, 23, 11, 84, 2, 9, 22, 18, 9, 4, 7, 13, 14, 25, 20, 19, 15, 21, 19, 3, 7, 20, 121, 21, 13, 12, 15, 11, 6, 9, 5, 25, 16, 3, 23, 123, 14, 6, 25, 20, 27, 14, 22, 23, 19, 8, 23, 23, 24, 6, 12, 22, 108, 25, 5, 23, 24, 125, 3, 14, 15, 15, 9, 32, 21, 21, 11, 2, 75, 8, 38, 18, 19, 76, 11, 14, 10, 12, 16, 21, 11, 20, 15, 14, 4, 78, 8, 20, 15, 15, 6, 21, 8, 25, 20, 6, 14, 5, 21, 78, 78, 13, 20, 107, 108, 32, 23, 3, 26, 24, 21, 90, 31, 79, 39, 79, 63, 4, 15, 7, 96])"
Response time of HPC (Priority=3) jobs,"(1, 20.1, 108, [25, 11, 18, 56, 19, 24, 14, 9, 12, 12, 21, 23, 5, 15, 3, 24, 7, 23, 7, 10, 11, 18, 21, 25, 17, 20, 14, 23, 4, 14, 10, 9, 19, 14, 26, 20, 7, 21, 14, 8, 82, 24, 12, 65, 9, 16, 21, 83, 21, 15, 14, 3, 13, 22, 29, 21, 23, 22, 10, 7, 9, 25, 24, 26, 26, 87, 9, 24, 23, 4, 22, 23, 14, 24, 9, 25, 12, 25, 9, 16, 9, 19, 10, 13, 12, 33, 22, 20, 15, 23, 15, 14, 11, 10, 11, 16, 4, 23, 22, 108, 25, 16, 24, 12, 4, 37, 19, 16, 19, 15, 19, 8, 1, 24, 16, 2, 12, 17, 3, 12, 22, 9, 9, 43, 18, 23, 15, 3, 5, 17, 25, 11, 5, 15, 25, 14, 21, 10, 14, 32, 14, 97, 10, 46, 20, 17, 22, 17, 19, 17, 16, 25, 70, 4, 25, 12, 31, 14, 15, 15, 1, 42, 78, 4, 10, 17, 23, 20, 10, 4, 9, 45, 17, 8, 18, 15, 79, 25, 23, 22, 24, 6, 25])"
Response time of HPC (Priority=4) jobs,"(1, 20.2, 124, [13, 7, 8, 21, 9, 13, 20, 24, 20, 7, 24, 6, 7, 17, 11, 8, 22, 17, 7, 11, 14, 8, 17, 10, 20, 7, 25, 8, 19, 1, 13, 25, 20, 25, 6, 32, 26, 11, 21, 19, 25, 32, 16, 21, 9, 7, 17, 23, 27, 22, 10, 36, 24, 67, 25, 8, 14, 31, 15, 28, 18, 8, 23, 22, 23, 12, 88, 24, 31, 23, 36, 32, 10, 17, 24, 23, 10, 10, 17, 19, 24, 19, 22, 15, 17, 29, 112, 4, 4, 6, 14, 24, 18, 29, 33, 21, 4, 18, 15, 19, 21, 18, 29, 16, 21, 1, 21, 8, 22, 17, 17, 18, 29, 23, 19, 24, 18, 22, 23, 18, 11, 7, 124, 21, 25, 24, 24, 19, 9, 19, 22, 18, 20, 16, 16, 2, 11, 5, 3, 20, 24, 20, 26, 14, 25, 76, 25, 11, 19, 2, 22, 5, 40, 3, 2, 23, 23, 25, 31, 8, 15, 24, 14, 11, 8, 29, 1, 14, 21, 23, 40, 19, 29, 18, 47, 79, 19, 10, 30, 4, 2, 12, 20, 16, 31])"
